N5,1,だ,da,"To be, Is",https://bunpro.jp/grammar_points/%E3%81%A0
N5,2,です,desu,"To be, Is",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%99
N5,3,は,wa,As for... (Highlights sentence topic),https://bunpro.jp/grammar_points/%E3%81%AF
N5,4,も,mo,"Also, Too, As well, Even, Either, Neither",https://bunpro.jp/grammar_points/%E3%82%82
N5,5,これ,kore,This,https://bunpro.jp/grammar_points/%E3%81%93%E3%82%8C
N5,6,それ,sore,That,https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C
N5,7,あれ,are,That (over there),https://bunpro.jp/grammar_points/%E3%81%82%E3%82%8C
N5,8,の,no,Indicates possession,https://bunpro.jp/grammar_points/%E3%81%AE
N5,9,いい,ii,い-Adjective meaning 'good',https://bunpro.jp/grammar_points/%E3%81%84%E3%81%84
N5,10,い-Adjectives,i-adjectives,Adjectives ending in い,https://bunpro.jp/grammar_points/%E3%81%84-adjectives
N5,11,な-Adjectives,na-adjectives,Adjectives that are also nouns,https://bunpro.jp/grammar_points/%E3%81%AA-adjectives
N5,12,か,ka,Question marking particle,https://bunpro.jp/grammar_points/%E3%81%8B
N5,13,が,ga,"Subject marking particle, Identification particle",https://bunpro.jp/grammar_points/%E3%81%8C
N5,14,よ,yo,Emphasis (Sentence ending particle),https://bunpro.jp/grammar_points/%E3%82%88
N5,15,ね,ne,"Isn't it?, Right? (Sentence ending particle)",https://bunpro.jp/grammar_points/%E3%81%AD
N5,16,る-Verb (Dictionary),ru-verb (dictionary),る + ます (Ichidan Verbs),https://bunpro.jp/grammar_points/%E3%82%8B-Verbs
N5,17,う-Verb (Dictionary),u-verb (dictionary),う + ます (Godan Verbs),https://bunpro.jp/grammar_points/%E3%81%86-Verbs
N5,18,を,o,Object marking particle,https://bunpro.jp/grammar_points/%E3%82%92
N5,19,る-Verb (Negative),ru-verb (negative),Will/Does/Do (not),https://bunpro.jp/grammar_points/%E3%82%8Bverb-%E3%81%AA%E3%81%84
N5,20,う-Verb (Negative),u-verb (negative),Will/Does/Do (not),https://bunpro.jp/grammar_points/%E3%81%86verb--%E3%81%AA%E3%81%84
N5,21,と,to,And,https://bunpro.jp/grammar_points/%E3%81%A8-and
N5,22,ここ,koko,"Here, This place",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%93
N5,23,そこ,soko,"There, That place",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%93
N5,24,あそこ,asoko,Over there,https://bunpro.jp/grammar_points/%E3%81%82%E3%81%9D%E3%81%93
N5,25,で,de,"At, In",https://bunpro.jp/grammar_points/%E3%81%A7
N5,26,に,ni,"In, At, To, For, On",https://bunpro.jp/grammar_points/%E3%81%AB
N5,27,か,ka,Or,https://bunpro.jp/grammar_points/%E3%81%8B-or
N5,28,と,to,With,https://bunpro.jp/grammar_points/%E3%81%A8-with
N5,29,でしょう,deshou,"Right?, Probably, Isn't it?",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86
N5,30,だろう,darou,"Right?, Probably, Isn't it?",https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86
N5,31,がある,ga aru,"To be, There is",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B
N5,32,がいる,ga iru,"To be, There is, To remain (in a state)",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%84%E3%82%8B
N5,33,この,kono,This,https://bunpro.jp/grammar_points/%E3%81%93%E3%81%AE
N5,34,その,sono,That,https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%AE
N5,35,あの,ano,That (over there),https://bunpro.jp/grammar_points/%E3%81%82%E3%81%AE
N5,36,～んです・のです,~n desu / no desu,"Explanatory, Emphasis, The fact is",https://bunpro.jp/grammar_points/-%E3%82%93%E3%81%A7%E3%81%99-%E3%81%AE%E3%81%A7%E3%81%99
N5,37,い-Adjective (Past),i-adjective (past),"Was, Were (Past tense)",https://bunpro.jp/grammar_points/past-tense-%E3%81%84-adjectives
N5,38,の,no,"Verb nominalizer, The one who..., That which...",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AF
N5,39,い-Adjective + Noun,i-adjective + noun,Describing a noun,https://bunpro.jp/grammar_points/%E3%81%84-adjective-noun
N5,40,な-Adjective + Noun,na-adjective + noun,Describing a noun,https://bunpro.jp/grammar_points/%E3%81%AA-adjective-noun
N5,41,へいく,e iku,"To go to, To head toward",https://bunpro.jp/grammar_points/%E3%81%B8%E3%81%84%E3%81%8F
N5,42,する,suru,"To do, To make into",https://bunpro.jp/grammar_points/%E3%81%99%E3%82%8B
N5,43,くる,kuru,To come,https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%8B
N5,44,る-Verb (Past),ru-verb (past),る - Verbs (Past tense),https://bunpro.jp/grammar_points/%E3%82%8B-verb-past
N5,45,う-Verb (Past),u-verb (past),う - Verbs (Past tense),https://bunpro.jp/grammar_points/%E3%81%86-verb-past
N5,46,好き,suki,"Like, Fond of",https://bunpro.jp/grammar_points/%E3%81%99%E3%81%8D
N5,47,きらい,kirai,"Dislike, Not fond of",https://bunpro.jp/grammar_points/%E3%81%8D%E3%82%89%E3%81%84
N5,48,のがすき,no ga suki,"Like doing, Love doing",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%8C%E3%81%99%E3%81%8D
N5,49,がある + Noun,ga aru + noun,"Noun (B) that has Noun (A), Noun (B) with Noun (A)",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%82%E3%82%8B-noun
N5,50,い-Adjectives くない,i-adjectives kunai,Not (Adjective),https://bunpro.jp/grammar_points/negative-%E3%81%84-adjectives
N5,51,で,de,"With, By (using)",https://bunpro.jp/grammar_points/%E3%81%A7-by
N5,52,ので,node,"Because, So, Since, The reason being",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%A7
N5,53,から,kara,"Because, Since",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89-because
N5,54,から,kara,From,https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%89
N5,55,けど・だけど,kedo / dakedo,"But, However",https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9
N5,56,が,ga,"But, However",https://bunpro.jp/grammar_points/%E3%81%8C-but
N5,57,る-Verb (Negative-Past),ru-verb (negative-past),る - Verbs (Negative-past tense),https://bunpro.jp/grammar_points/%E3%82%8B-verb-neg-past
N5,58,う-Verb (Negative-Past),u-verb (negative-past),う - Verbs (Negative-past tense),https://bunpro.jp/grammar_points/%E3%81%86-verb-neg-past
N5,59,Verb + て,verb + te,"And, Then (Linking events)",https://bunpro.jp/grammar_points/verb-%E3%81%A6
N5,60,ている①,te iru (1),"Is, Am, Are (~ing)",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1
N5,61,へ,e,"To, Toward",https://bunpro.jp/grammar_points/%E3%81%B8
N5,62,Verb + にいく,verb + ni iku,"To go ~, To go in order to ~",https://bunpro.jp/grammar_points/verb-%E3%81%AB%E3%81%84%E3%81%8F
N5,63,誰,dare,Who,https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8C
N5,64,い-Adjective (Predicate),i-adjective (predicate),い-Adjective (Predicate),https://bunpro.jp/grammar_points/%E3%81%84-adjective-predicate
N5,65,な-Adjective だ,na-adjective da,な-Adjective (Predicate),https://bunpro.jp/grammar_points/%E3%81%AA-adjective-predicate
N5,66,だった・でした,datta / deshita,"Was, Were (Past tense)",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%A3%E3%81%9F-%E3%81%A7%E3%81%97%E3%81%9F
N5,67,じゃない,janai,"Is not, Isn't",https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84
N5,68,じゃなかった,janakatta,"Was not, Wasn't",https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F
N5,69,い-Adjective くなかった,i-adjective kunakatta,"Was not, Wasn't (Adjective)",https://bunpro.jp/grammar_points/%E3%81%84-Adjective-%E3%81%8F%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F
N5,70,と,to,Quotation,https://bunpro.jp/grammar_points/%E3%81%A8
